emp_no,last_name,first_name,gender,salary
10001,Facello,Georgi,M,60117
10004,Koblick,Chirstian,M,40054
10009,Peac,Sumant,F,60929
10018,Peha,Kazuhide,F,55881
10035,Chappelet,Alain,M,41538
10053,Zschoche,Sanjiv,F,67854
10058,McFarlin,Berhard,M,52787
10066,Schusler,Kwee,M,69736
10067,Stavenow,Claudi,M,44642
10070,Garigliano,Reuven,M,55999
10072,Sidou,Hironoby,F,40000
10076,Ritzmann,Erez,F,47319
10088,Syrzycki,Jungsoon,F,65957
10100,Haraldson,Hironobu,F,54398
10103,Birch,Akemi,M,68158
10126,Valtorta,Kayoko,M,40000
10129,Peir,Armond,M,40000
10130,Casperson,Nishit,M,40000
10134,Siprelle,Diederik,M,40000
10138,Shimshoni,Perry,M,53574
10150,Perng,Zhenbing,F,70122
10153,Majewski,Heekeun,M,54246
10157,Aloisi,Nigel,M,48770
10198,Furedi,Pranav,M,44076
10215,Duclos,Xiaobin,M,43944
10224,Trogemann,Leon,M,40000
10233,Vendrig,Lein,F,40000
10258,Ishibashi,Basil,F,66280
10272,Cannane,Yishai,M,58070
10282,Benzmuller,Hercules,M,40000
10283,Birjandi,Kauko,M,40000
10326,Czap,Masali,F,40000
10340,Laventhal,Djelloul,M,68132
10347,Kaminger,Pradeep,M,42199
10355,Cochrane,Satyanarayana,M,70434
10356,Standera,Vasilis,M,45376
10364,Dengi,Nakhoon,M,51401
10372,Frijda,Anneli,F,54505
10387,Wrigley,Parto,F,61374
10396,Rahier,Sibyl,M,40393
10402,Ebeling,Volkmar,M,40000
10404,Rosti,Prodip,F,51647
10426,Luce,Arunas,F,65757
10429,Improta,Martien,F,40000
10432,Tiemann,Hisao,F,40000
10451,Ranta,Bodh,F,46275
10453,Matzel,Tsvetan,F,40000
10463,Zaiane,Ung,M,66480
10486,Kossowski,Amstein,F,71692
10494,Servieres,Yakkov,F,50094
10504,Varker,Xiong,M,43931
10512,Gihr,Udi,M,40000
10522,Cesareni,Marke,F,40000
10548,Gunderson,Ramalingam,M,90631
10564,Thisen,Jianhao,M,46660
10623,Danlos,Aleksander,F,60268
10628,Krogh,Krisda,M,41650
10631,Chaudhuri,Inderjeet,M,40000
10642,Narlikar,Hirochika,M,40000
10653,Feinberg,Otmar,M,40000
10671,Rebaine,Parviz,M,74037
10676,Danley,Valeri,F,58226
10693,Daescu,Berhard,F,40000
10702,Szemeredi,Bader,M,46581
10718,Rullman,Adib,M,75473
10726,Minakawa,Zita,F,46315
10734,Erdi,Sachar,M,47377
10745,Ranze,Poorav,F,40000
10749,Brendel,King,M,60829
10767,Doering,Monique,F,40651
10768,Candan,Ishfaq,M,65717
10778,Merey,Selwyn,M,64996
10791,Sgarro,Tadahiko,M,40000
10795,Naudin,Supot,M,84206
10808,Leijenhorst,Chenxi,M,40000
10835,Kermarrec,Tomoyuki,M,40000
10836,Leivant,Jianhua,F,65502
10844,Koprowski,Dipayan,M,40000
10847,Danley,Theirry,M,40000
10848,Bratsberg,Fen,F,50475
10878,Deville,Lakshmi,M,72102
10879,Chleq,Muzhong,F,65651
10883,Champarnaud,Shimshon,M,40000
10909,Atchley,Georgi,M,80935
10921,Bahi,Mara,F,72601
10924,Atchley,Hironoby,F,84783
10927,Scallan,Gal,M,51819
10936,Schicker,Mountaz,F,40000
10943,Skafidas,Berna,M,45890
10965,Braunschweig,Eckart,M,61654
10969,Noriega,Premal,M,40000
10974,Papsdorf,Muneo,M,56005
10986,Schiper,Masako,M,43900
10988,Deyuan,Chinya,M,54174
10989,Candan,Sumali,F,46406
10990,Foote,Shin,M,40000
11009,Axelband,Alper,F,75111
11012,Speckmann,Taegyun,F,72092
11019,Huttel,Leon,M,69387
11021,Henders,Srinidhi,F,62670
11027,Cappello,Remzi,M,40000
11031,Walstra,Ottavia,M,71654
11037,Maliniak,Lansing,M,40000
11038,Beidas,Jinya,M,44993
11042,Breugel,Gou,F,40000
11048,Demke,Jaques,M,65697
11050,Katiyar,Elvis,M,52251
11051,Erol,Przemyslawa,F,40000
11070,Raney,Adib,M,40000
11081,Boyle,Barry,M,65686
11085,Thummel,Hailing,M,66437
11100,Cochrane,Berna,M,40000
